ID,MovRate,Season,Sex
CA52,38.273196,Non-mating,M
CA53,26.288476,Non-mating,M
CA54,56.761507,Non-mating,M
CA56,6.028362,Non-mating,F
CA57,34.004646,Non-mating,M
CA58,15.385893,Non-mating,F
CA59,29.665925,Non-mating,M
CA62,8.207033,Non-mating,F
CA65,22.752316,Non-mating,F
CA66,35.123228,Non-mating,M
CA68,22.356345,Non-mating,M
CA70,26.00155,Non-mating,M
CA71,13.089309,Non-mating,M
CA72,86.430563,Non-mating,M
CA52,26.08305,Mating,M
CA53,69.65926,Mating,M
CA54,52.03711,Mating,M
CA56,14.0145,Mating,F
CA57,34.98154,Mating,M
CA58,32.44959,Mating,F
CA59,48.92466,Mating,M
CA62,25.55612,Mating,F
CA65,50.60123,Mating,F
CA66,50.80999,Mating,M
CA68,59.59958,Mating,M
CA70,49.52195,Mating,M
CA71,49.44732,Mating,M
CA72,32.05963,Mating,M
