ID,TDT,Season,Sex
CA52,4615.0544,Non-mating,M
CA53,3729.3893,Non-mating,M
CA54,5455.9824,Non-mating,M
CA56,702.3153,Non-mating,F
CA57,4194.4065,Non-mating,M
CA58,1788.4239,Non-mating,F
CA59,3410.0299,Non-mating,M
CA62,868.8438,Non-mating,F
CA65,1868.7766,Non-mating,F
CA66,3583.6331,Non-mating,M
CA68,2760.5868,Non-mating,M
CA70,3106.2577,Non-mating,M
CA71,1566.9958,Non-mating,M
CA72,3637.2858,Non-mating,M
CA52,1790.424,Mating,M
CA53,3832.063,Mating,M
CA54,3741.122,Mating,M
CA56,1090.852,Mating,F
CA57,1960.893,Mating,M
CA58,2302.592,Mating,F
CA59,2529.593,Mating,M
CA62,2091.699,Mating,F
CA65,4297.152,Mating,F
CA66,4066.084,Mating,M
CA68,4762.701,Mating,M
CA70,3745.491,Mating,M
CA71,3868.985,Mating,M
CA72,2104.648,Mating,M
